title,category,text
NMAP in Android,/AndroJava/,"november 30, 2020

				nmap in android			
androjava


 


 



in this post, i’m going to talk about my new library for using nmap in any android project. i’ve released the library in my github and bintray. using the library, you can use nmap on non rooted android device.

alternatives
it is similar to other projects available in google play such as network mapper. actually the binary library is based on the binary versions published by kost same author of network mapper.
the binary files of nmap are available in kosts’s github repository.
how to use
there is three simple step for using the library in your project:
add internet permission to the manifestadd nmapandroid dependency in your app level gradle file.write the simple code!
here is the permission: 
<uses-permission android:name=""android.permission.internet"" />
here is the dependency:
implementation 'ir.mstajbakhsh:nmap-android:1.0.0'
here is the simple code:
nmaputilities n = new nmaputilities(context);
n.startinstallation();

final stringbuilder line_buffer = new stringbuilder();
outputstream ops = new outputstream() {
	@override
    public void write(int b) {
    	if (b == '\n') {
            system.out.println(line_buffer.tostring());
            line_buffer.setlength(0);
        } else {
            line_buffer.append(character.tochars(b));
        }
    }
};

try {
    n.execcommand(ops, ""-a"", ""192.168.1.0/24"", ""--system-dns"");
} catch (exception e) {
    e.printstacktrace();
}
here is the sample output of the project:
nmap android sample output
limitation
due to the size limit, only two binary versions are included inside the library including: arm and x86. additionally, the flow chart of automatic installation of the library is depicted below:
nmap android automatic installation process
source code
the source code is available in my personal repository in github. https://github.com/mirsamantajbakhsh/nmapandroid
donation
do not forget to buy me a cup of coffee. my bitcoin wallet address is:
1f5uiemdcljx5kktwhe1wkc63fekjymmxs




 android, library, nmap




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post"
TOR Android Library,/AndroJava/Anonymity Networks/,"november 22, 2020

				tor android library			
androjavaanonymity networks


 


 



in previous post, i’ve talked about compiling tor from source in android and added some helper libraries for starting and configuring tor. in this post, i’ve created a library based on tor binary (version 0.4.4.0) and published in github, jfrog and jitpack.

process
whole process is simple. the following picture depicts it.
tor android process
importing the tor android into android studio
there are 3 ways for importing the aar library to android studio.

download the latest release from tor android github page.import from jcenter

implementation 'ir.mstajbakhsh:tor-android:1.0.0'

get from jitpack
allprojects {
    repositories {
	maven { url 'https://jitpack.io' }
    }
}
dependencies {
implementation 'com.github.mirsamantajbakhsh:torandroid:1.0.0'
}

sample code
here is a sample code for starting the tor android, an application with only one activity. the only needed permission is internet which should be added to the manifest.
@override
protected void oncreate(bundle savedinstancestate) {
    super.oncreate(savedinstancestate);
    setcontentview(r.layout.activity_main);

    asynctask.execute(new runnable() {
        @override
        public void run() {

            final torproxy tb = new torproxy.torbuilder(getapplicationcontext())
                    .setsocksport(tor_transproxy_port_default) //9150 for example
                    .setusebrideges(false)
                    .setexternalhiddenserviceport(80)
                    .setinternalhiddenserviceport(80)
                    .setdebuggable(false)
                    .build();
            tb.init();

            runonuithread(new runnable() {
                @override
                public void run() {
                    toast.maketext(getapplicationcontext(), ""initialized"", toast.length_long).show();
                }
            });


            try {
                tb.start(new iconnectiondone() {
                    @override
                    public void onsuccess() {
                        log.d(""torandroid"", ""tor started successfully."");
                        runonuithread(new runnable() {
                            @override
                            public void run() {
                                toast.maketext(getapplicationcontext(), ""tor is ok."", toast.length_long).show();
                                toast.maketext(getapplicationcontext(), tb.getonionaddress(), toast.length_long).show();
                            }
                        });

                    }

                    @override
                    public void onfailure(final exception ex) {
                        log.e(""torandroid"", ""error in starting tor.\r\n"" + ex.getmessage());
                        runonuithread(new runnable() {
                            @override
                            public void run() {
                                toast.maketext(getapplicationcontext(), ""error\r\n"" + ex.getmessage(), toast.length_long).show();
                            }
                        });
                    }
                });
            } catch (ioexception e) {
                e.printstacktrace();
            }
        }
    });

}
the result is ok. see it here:

useful links
https://github.com/mirsamantajbakhsh/torandroidhttps://bintray.com/mirsamantajbakhsh/android/torandroid




 android, library, tor




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
Compiling TOR in Android,/Anonymity Networks/,"september 24, 2020

				compiling tor in android			
anonymity networks


 


 



in this post, i want to talk about compiling and using tor in your android projects. the main source relies in guardian repository. 

getting tor binary
as indicated in tor-android repository, by adding the maven url to the gradle config of your project, you are able to use tor’s latest build for android. however, i couldn’t add it through the link.
tor android maven url
this is what i get when i click on the link:
error of maven urlkof tor android binary
therefore i decided to download the complete source code and compile from scratch.
getting tor
the very easy method of getting the source code is:
git clone https://github.com/guardianproject/tor-android.git
but after getting the code, you need to download the submodules which are located in external subfolder.
tor android’s submodules
git submodule update --init
# if there are nested submodules:
git submodule update --init --recursive

# from https://www.vogella.com/tutorials/gitsubmodules/article.html#:~:text=2.3.-,pulling%20with%20submodules,in%20the%20git%20pull%20command%20.
so everything is ok. now you can use ./gradlew build  to build the source code. however, you should compile the binaries first. you can watch my youtube video about the details.
my contribution
i have added some code to make installing and starting tor easier. its functionality is similar to tor onion project.
you can see my repository in the following link: https://github.com/mirsamantajbakhsh/tor-android/tree/hs_connect
here is a screenshot of my commits in tor-android project in a branch named hs_connect.
my contribution in tor-android for installing and starting tor in android
the video
the whole process is recorded and uploaded to my youtube channel. 

join my channel to get all the videos!




 android, compile, scratch, source code, tor




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
Onion Balance v2: Beautiful Load Balancer in TOR,/Anonymity Networks/Cryptography/Tutorial/,"april 27, 2020

				onion balance v2: beautiful load balancer in tor			
anonymity networkscryptographytutorial


 


 



in this post, i will talk a little about onionbalance, a load balancer in tor network. it enables adding multiple hidden services which can be accessed from one onion address.
(the picture is from life hacker)

a small description
if you want to know more about tor network and hidden services, you can check my previous posts in anonimity category. 
the idea of load balancing is about serving a service (such as web service) using multiple instances (web servers). load balancing helps users to wait less (for loading of a web page) and less traffic and load on the server.
this is the general idea of a web load balancer:
simple web server load balancer
in normal load balancing schema, a dns server can resolve the same domain name to multiple ips using a load balancing algorithm (such as round robin), but in tor network, there is no dns server. the hidden services are served by hsd (hidden service directories). you can get more information from this link.
final step in hidden service connection establishment
therefore, bob (who owns a hidden service) register its introduction points in the hsd (or the db in picture). but bob runs a hidden service with one address. what is bob has more hidden services (same instance)?
onion balance
if bob can run multiple hidden services and ask hdss to change the introduction points of the multiple hidden services to only one introduction point, then the one address will be transferred to ip of the 1st hidden service or the 2nd or the 3rd, etc.
this is how the onion balance (and similar tools) works.
the idea ‌behind onion balance
running onion balance
i made a video tutorial about running onion balance. if you have any question, feel free to ask.


onion balance video tutorial




 anonymity, load balancer, onionbalance, tor




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
Creating Hidden Mail Service,/Anonymity Networks/Tutorial/,"august 6, 2019

				creating hidden mail service			
anonymity networkstutorial


 


 



previously, i’ve described how to run hidden mail service over tor and how to connect to it using thunderbird.
in this post, i’ve create a video demo of what i’ve told in the posts.

scenario of  creating hidden mail service 
the scenario is made up of a mail server (hmailserver) which is located behind a tor hidden service and do not access to internet. by means of do not access to internet, i mean that hmailserver’s access to the internet is blocked by firewall which it cannot send emails to other servers. it is used to ensure local delivery of emails.
additionally there are two users: alice and bob over the fake domain of hidden.one which communicate with each other over the hidden mail server. 
video for creating hidden mail 
you can find the video on my youtube channel. mr tajbakhsh youtube channel


creating and configuring hidden mail service over tor





 email server, hidden service, hmailserver, tor




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
Broadcast Yourself Through Android,/AndroJava/Media/Tutorial/,"july 8, 2019

				broadcast yourself through android			
androjavamediatutorial


 


 



i previously created a “hiddenlivecamera” library for android. in github, i’ve received an issue by  geminird  indicating that phone no responded. i described the reason and geminird asked for live audio stream.
in another post, i’ve wrote about broadcasting media files (such as mp3) using mixxx and icecast. in this post, i’ve write about my library and how to use it in android projects in order to publish stream from android. the code of the library is grabbed from coolmic.

the live audio android library
i’ve created the library from coolmic code, which is listed as icecast client library. the code can be found in my github live audio repository. in addition i’ve published it as an aar library which can be included in your android applications. making life easier …
using the library
there is needed to configure stream server (here, icecast) and android client (using my liveaudio android library ). the library code is accessible from my github repository.
icecast side
after that, you should config your icecast (or any other audio stream server on your choice). using my post about broadcasting yourself, you can start configuration. but for this tutorial, i’ve used following stream source config in my icecast:
<mount type=""normal"">
    <mount-name>/harleyquinn</mount-name>
    <username>joker</username>
    <password>hackme</password>
    <max-listeners>2</max-listeners>
    <max-listener-duration>360000</max-listener-duration>
    <dump-file>/tmp/harley.ogg</dump-file>
    <charset>iso8859-1</charset>
    <public>1</public>
    <stream-name>harley quinn radio</stream-name>
    <stream-description>listen to my live audio from gotham! with joker!</stream-description>
    <genre>heavy</genre>
    <bitrate>64</bitrate>
    <type>application/ogg</type>
    <subtype>vorbis</subtype>
    <hidden>1</hidden>
    <burst-size>65536</burst-size>
    <mp3-metadata-interval>4096</mp3-metadata-interval>
    <on-connect>/home/icecast/bin/source-start</on-connect>
    <on-disconnect>/home/icecast/bin/source-end</on-disconnect>
</mount>

start your icecast using settings similar to above.
android side
the library is published in jcenter, so you can use it in your android project (i assume that you’re using gradle) like:
 implementation 'ir.mstajbakhsh.android:liveaudio:1.0.0'
after adding the library, one can set a config object for icecase configuration, like:
config c = new config();
c.host(""192.168.43.194"");
c.port(8000);
c.username(""joker"");
c.password(""hackme"");
c.mount(""/harleyquinn"");
c.samplerate(16000);
and then pass the config object to a liveaudio object:
liveaudio l = new liveaudio(c);try {    l.start();} catch (exception e) {    e.printstacktrace();}
everything is ok. start your application to broadcast yourself!
video for broadcast yourself through android
i’ve created a demo video for using of liveaudio:


live audio library in action




 android, broadcast, library, live




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
Making Home More Smarter,/IoT/Personal/,"july 2, 2019

				making home more smarter			
iotpersonal


 


 



i’ve previously installed a home assistant (ha) in my home and attached temperature and humidity sensor to it. i’ve tweeted about  home assistant times ago. now i had added it more features.

customizing ui
with the growth of sensors and smart elements at home, i’ve customized the ha interface and split the sensors in the following categories:
weathercctvmedianews
weather
there are two weather sources in my current smart home. one source is from darksky sensor, the other is the old temperature and humidity sensor which shows the weather conditions inside home!
home assistant – weather
cctv
i’ve added cctv cams and attached them to ha. finding the preview links was a bit annoying, but finally added.
home assistant – cctv
media
these devices was in my previous configuration but a chrome cast and a samsung tv is added to this section.
home assistant – media manager
news
i’ve used instructions for home assistant feed parser, but there was needed for some improvement (support for rtl languages or display improvements) which i had changed. the rss feed of news are added to the ha.
home assistant – news feed
what’s next for home assistant (ha) 
currently i’m working on adding images to the rss feeds in my free time. i like to create a smart mirror and attach it to the ha and attach more sensors! let’s hope it all goes well!
the demo of ha
here i’ve uploaded a video captured from ha to youtube:







 cctv, home assistant, media home, rss, sensor, smart home, weather




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
Android Spy Camera,/AndroJava/Programming/RAT/,"june 3, 2019

				android spy camera			
androjavaprogrammingrat


 


 



i was researching about android malware and their features, compare them. i’ve found that most of them (actually all) do not support live video stream from android camera, aka spy camera, and one that supports live camera, needs an activity. therefore, i’ve started a hidden spy camera project to live stream video from android camera to an rtmp server without activity, named live hidden camera.
live hidden camera in action

the idea of spy camera
as i’ve told before, the main idea is from lack of live stream libraries. i wanted to know how the android camera works and how rats benefits the spy camera. i’ve searched and found a github repository, containing android rats. the only rat i’ve found with live stream ability was androrat which needs activity for video stream.
androrat
what i did
i found open source libraries which is used for video streaming in android. they get picture from camera, audio from microphone, encode and sync them, and finally send them to a stream server. the list of opensource video streaming libraries are:
 https://github.com/begeekmyfriend/yaseahttps://github.com/ant-media/livevideobroadcasterhttps://github.com/takusemba/rtmppublisherhttps://github.com/fyhertz/libstreaming 
but all the libraries needs a surfaceview which is graphical element fr displaying camera preview to user. in android’s security mechanism, camera preview should be displayed to user for capturing from camera. therefore, i’ve searched for hiding camera preview and i’ve found  https://github.com/kevalpatel2106/android-hidden-camera which exactly do the same, overlays a dummy surfaceview with size of 1*1. but the library is used for taking pictures, not streaming.
live hidden camera born
the idea for hidden streaming is found based on android-hidden-camera and yasea. the main work was merging them, which was a bit annoying. but finally done.
for the aim of streaming server, i’ve used ant media server which has a community edition and is free and opensource forked from red5. here is a manual for running the ant media server.
ant media server
the final stage was creating a library for others use. the library and the source code are available in my github repository.
https://github.com/mirsamantajbakhsh/livehiddencamera/
happy streaming!


live hidden camera in action




 android, camera, java, live, rat, rtmp, stream




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
OnionFarm WriteUp,/Anonymity Networks/Cryptography/WriteUp/,"may 9, 2019

				onionfarm writeup			
anonymity networkscryptographywriteup


 


 



onionfarm was one of the challenges in uutctf which was held in 25-28 april 2019 by urmia university of technology. the challenge has been solved by 4 teams. following, the challenge details and the write up is discussed.

onionfarm
the challenge said that the flag is inside the following link: http://uutctfysirwosxjx.onion/
onionfarm challenge in uutctf2019
the link is a hidden service and it starts with http. therefore, it should be opened by tor. using tor browser, the page is loaded.
onionfarm hidden web service
as it is shown in the above picture, there is a flag signed by a private key (in base64) and sha-1 hash of its public key is given.
signed flag: y94qdvnr0koeu3j2cdqougyub+v1kzxmqiewnktf3g46teemkjc9mi4ox2wak/jnv433e9vwmaoxgc79hpz0wo6pfqurbtcoqyj3dczrkesgy0v4lcxke6r+nskzf0hxayvsmv6uixeqikoro+dwcwi2gvnvd4k+mw4vbhcxprs= 
sha-1 of the public key: uutctfysirwosxjxadwzgzy34lrhjknq 
but the sha-1 signature is not in familiar form. instead the first 16 chars of sha-1 hash is the same as the hidden web service name:  http://uutctfysirwosxjx.onion/ 
the tor system
in version 2 of the onion addresses in tor system, the onion link is 16 first chars of the public key of the hidden service, encoded in base32 address. therefore, the main task is getting the public key of this hidden service. tor itself gives a control port for controlling tor. stem is a python library for interacting with tor control port. following code from github link, can be used for getting the hidden service descriptors (information).
import sys
import argparse
import stem
from stem.control import controller
def main():
    parser = argparse.argumentparser(description=""%s fetches a tor hidden ""
                                     ""service descriptor."" % sys.argv[0])
    parser.add_argument(""-p"", ""--port"", type=int, default=9051,
                        help=""tor controller port"")
    parser.add_argument('onion_address', type=str, help='onion address')
    args = parser.parse_args()
    with controller.from_port(port=args.port) as controller:
        controller.authenticate()
        try:
            hs_descriptor = controller.get_hidden_service_descriptor(args.onion_address)
            print(hs_descriptor)
        except stem.descriptorunavailable:
            print(""descriptor not found, the hidden service may be offline."")
            return 1
if __name__ == '__main__':
    sys.exit(main()) 
using the above code, one can fetch the public key for the hidden service.
hs descriptor for onionfarm
rsa public key
the flag
we’ve found the public key, but the problem is that it is in rsa public key format. openssl accepts pem format which should be public key. therefor we need to convert the rsa public key in a readable format. first of all the base64 encoded text, is in asn.1 format. using tools such as asn1js, public key bytes and modulus can be gained. the online version of asn1js is available in jsfiddle website.
asn.1 format
now we have public key (138865786359602944891762156467560871881909108828375427630579384292773) and modulus (527482743). we need to form an pem file. with the public key and modulus bytes, we can form an xml format. in the following picture, i just show the modulus. the same procedure is done for public key.
bytes to base64
in final stage, we need a tool to convert xml format to pem. i’ve used superdry developer .
final public key
the final public key in pem format is: 
—–begin public key—– miggma0gcsqgsib3dqebaquaa4goadcbigkbgqdfwf6gxxdrpmhai/3epaagty3h hkneorjt3oxu6qbbpdkjjmtlew504bsnkzcxgwog+477wglab4ktncupq65eawxm tjzwx99ongoq32cuuhyjl7lguqvfzf1uqqjizpftjouzaxoxq9h3qe2wi0xrvfph yiioat+jhhng2jkknwieh3c/dw== —–end public key—–
now we should pass flag to openssl and verify the flag using it, but first we need to base64 decode the flag.
decryption
voila! the flag is: uutctf{hidden_0ni0ns_should_be_harvested}




 ctf, tor, uutctf, writeup




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
VPN or TOR? This is the Problem,/Anonymity Networks/,"april 13, 2019

				vpn or tor? this is the problem			
anonymity networks


 


 



i just saw a post in tor stack exchange titled “is it recommended that we use a vpn along with tor?” and wanted to post about using vpn and tor alongside. previously, i’ve posted socks rocks! the good, the bad and the ugly and socks rocks again! and this post is conclusion of the posts.

actually vpn hides your ip from isp but the vpn server will know your real ip address and your packets’ destination.
tor uses three extra (software-based) router in order to hide your ip from destination and routers. (actually the first router knows your real ip but does know the destination. final router knows destination but does not know your real ip). it is considered in tor that the routers do not share the information, else they can identify your session and ip.
based on the above, you can use tor through vpn or vpn through tor.
 in vpn through tor, you will connect to vpn server from tor. vpn does not know your real ip (knows the final router’s ip) but the destination does not know you’re requesting through tor. in tor through vpn, you will connect to tor through vpn, therefore vpn provider will know your real ip but wont know the destination. first router will know the vpn’s ip (not your real ip).
case 1 can help you when you want use tor and access sites such as google which has banned access from tor which is discussed in socks rocks again!.  case 2 can help you in privacy, because you add an extra layer of ip to access you.  the following picture depicts the two cases:
case 1: vpn through tor, case 2: tor through vpn




 tor, vpn




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
Presenting Hidden Services in Onion Harvester,/Anonymity Networks/Conference/,"march 8, 2019

				presenting hidden services in onion harvester			
anonymity networksconference


 


 



my project as onion harvester is accepted in offseconf 2019. onion harvester is one of the projects i’m working on it partly. i give a brief presentation about working mechanism of tor network and talked about hidden services.

after that, i talked about computations and resources needed in order to find all the addresses.
i uploaded the video to my youtube channel and here are some of the photos.

the video is here:


onion harvester




 hidden service




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
Scooby Tor! Where Are You?,/Anonymity Networks/Urmia/,"february 28, 2019

				scooby tor! where are you?			
anonymity networksurmia


 


 



i notified that the exit node ip address in the tor browser is not the real exit node ip. then i started to drive the mystery machine for investigating the case. real ip! where are you?

motivation for scooby tor!
someone in twitter asked me an interesting question which i wasn’t noticed before. the question was:
why the ip address which is shown in whoer is not same as the exit node which is shown in tor browser?!shadow
therefore i started to investigate the cause which was very interesting.
i think this problem has a similar situation of the scooby doo series. there is an unknown subject (the ip address displayed in whoer), the bad guy behind the ghost mask (the ip address shown in tor browser) and the clues!
the question
in the first step, i myself checked the case in order to see the task and verified. i tested with whoer and whatismyip. the results are the same.

the steps
we now faced the ghost! and scooby started to fear of the case. but with the help of velma, they started to collect the clues.
the first think that i did, was finding the exit nodes of tor in other way. i connected to tor control port using telnet, but i had to define a password for connecting to it.
adding password to tor control port
using the following command, one can generate a hashed password for tor:
tor --hash-password password > pass.txt
then enter the value inside pass.txt to the tor config file, torrc which is inside the tor browser folder if you’re using windows or in /etc/tor if you’re using *nix systems, as the following:
hashedcontrolpassword value
the value is something like 16:hashedvalue. now you can restart tor and connect to tor control port or use the charming python script in order to display the list of exit nodes. credits go to tor stack exchange. but i’ve changed some parameters:
first of all changed the control port from 9051 to 9151 which is the default port for tor control port.then added my password to the authenticate() functions.run the script
all the things are ok. the ghost ip address is changed but you can see the list of exit nodes. here is the proof:

therefore, tor creates multi circuits and use them as the connection manager. but the circuit which is used for displaying the exit node to the user may not be the same as real exit ip address.




 exit node, tor




 

mir saman
i'm currently an it phd. candidate at urmia university. i'm interested in social network analysis, big data mining, and nlp in my academical field as well as guitar, nature, and android!		
			view all posts by mir saman		





  previous post 

next post"
